qauternion|yawDir|euler angle|euler radians
-0.009,0.0,0.037,0.999|-178.96851893455874|[-1.05527997  0.07866421  4.24058867]|[-0.01841811  0.00137295  0.07401223]
-0.01,0.008,0.035,0.999|-178.88573135410587|[-1.15063953  1.01039219  4.03137445]|[-0.02008245  0.01763467  0.07036076]
-0.012,0.17,0.031,0.985|-179.2035773875748|[-1.98880827 19.5993042   3.31364799]|[-0.03471125  0.3420724   0.05783407]
-0.015,0.326,0.029,0.945|-179.31326790806207|[-2.70896697 38.12488174  2.60941386]|[-0.04728039  0.66540468  0.04554286]
-0.016,0.444,0.028,0.895|-179.64158450973306|[-3.04457188 52.79098511  2.03915524]|[-0.0531378   0.92137647  0.03558997]
-0.017,0.542,0.026,0.84|-179.94778062612238|[-3.24770427 65.65982056  1.47335541]|[-0.05668313  1.14598     0.0257149 ]
-0.019,0.621,0.023,0.784|-179.69508198754045|[-3.35729027 76.77024841  0.71257627]|[-0.05859577  1.33989358  0.0124368 ]
-0.024,0.738,0.016,0.674|-5.48742620135143|[-3.18772411 95.16832733 -0.83846569]|[-0.05563628  1.66100061 -0.01463399]
-0.028,0.839,0.004,0.544|-3.330970684761283|[ -2.10036206 113.99272156  -2.45413613]|[-0.03665823  1.98954833 -0.04283275]
-0.021,0.908,-0.004,0.419|-2.194343701955015|[ -0.55138463 130.39823914  -2.41072822]|[-0.00962348  2.27587867 -0.04207515]
-0.024,0.967,-0.007,0.252|-1.6821034642903443|[ 6.80248663e-02  1.50813522e+02 -2.81974983e+00]|[ 1.18725793e-03  2.63219261e+00 -4.92139161e-02]
-0.021,0.999,-0.015,0.04|-1.8194428006118009|[  1.65881765 175.40328979  -2.50192523]|[ 0.02895183  3.06136489 -0.04366683]
0.017,-0.991,0.02,0.133|-2.0867167061831364|[   2.55751181 -164.67706299   -1.61500406]|[ 0.044637   -2.87415695 -0.02818714]
0.012,-0.948,0.029,0.318|-3.4040684779950943|[   3.58841801 -142.88493347   -0.22104147]|[ 0.06262971 -2.49381256 -0.0038579 ]
